hour,pv_kw,P_DAC,P_PEM,P_MeOH,P_grid,P_curt,P_ch,P_dis,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,897672.87,1933053.57503497,0,10,0,0,0,0
2,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,861765.9552,1857053.11035524,0,10,0,0,0,0
3,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,825859.0404,1781052.64567552,0,10,0,0,0,0
4,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,789952.1256,1705052.1809958,0,10,0,0,0,0
5,0,0,0,140.2108922,140.2108922,0,0,0,0,0,9.974143,29.922429,1032.268536,754045.2108,1629051.71631608,0,10,0,0,0,0
6,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,718138.296,1521330.97191608,0,10,0,0,0,0
7,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,682231.3812,1445330.50723636,0,10,0,0,0,0
8,6.723182,0,3600,140.2108922,3733.4877102,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,646324.4664,1369330.04255664,0,10,0,0,0,0
9,435.537175,0,3600,140.2108922,3304.6737172,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,610417.5516,1293329.57787692,0,10,0,0,0,0
10,634.747145,0,3600,140.2108922,3105.4637472,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,574510.6368,1217329.1131972,0,10,0,0,0,0
11,769.296847,0,3600,140.2108922,2970.9140452,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,538603.722,1141328.64851748,0,10,0,0,0,0
12,802.24751,0,3600,140.2108922,2937.9633822,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,502696.8072,1065328.18383776,0,10,0,0,0,0
13,797.275098,0,3600,140.2108922,2942.9357942,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,466789.8924,989327.719158042,0,10,0,0,0,0
14,727.208754,0,3600,140.2108922,3013.0021382,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,430882.9776,913327.254478322,0,10,0,0,0,0
15,523.51582,0,3600,140.2108922,3216.6950722,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,394976.0628,837326.789798602,0,10,0,0,0,0
16,306.28221,0,3600,140.2108922,3433.9286822,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,359069.148,761326.325118881,0,10,0,0,0,0
17,49.723554,0,3600,140.2108922,3690.4873382,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,323162.2332,685325.860439161,0,10,0,0,0,0
18,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,287255.3184,609325.395759441,0,10,0,0,0,0
19,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,251348.4036,533324.93107972,0,10,0,0,0,0
20,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,215441.4888,457324.4664,0,10,0,0,0,0
21,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,179534.574,381324.00172028,0,10,0,0,0,0
22,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,143627.6592,305323.53704056,0,10,0,0,0,0
23,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,107720.7444,229323.072360839,0,10,0,0,0,0
24,0,0,3600,140.2108922,3740.2108922,0,0,0,0,8.81118881118881,9.974143,29.922429,1032.268536,71813.8296000001,153322.607681119,0,10,0,0,0,0
