hour,pv_kw,P_DAC_kw,P_PEM_kw,P_MeOH_kw,P_grid_kw,P_curt_kw,P_ch_kw,P_dis_kw,z_bat,battery_mode,CO2_prod_mol_s,H2_prod_mol_s,F_CO2_mol_s,F_H2_mol_s,MeOH_kg_h,z_MeOH_on,CO2_storage_mol,H2_storage_mol,Battery_energy_kWh,n_ready,n_sat,n_ads,n_des,n_cool
1,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1163048.411476074,842.648349473699,1.0982799696697267,10,0,0,0,0
2,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1163012.411476074,734.648349473699,0.9518426403804299,10,0,0,0,0
3,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.13911546282483203,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1162976.411476074,626.648349473699,0.805405311091133,10,0,0,0,0
4,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1162940.411476074,518.648349473699,0.6589679818018361,10,0,0,0,0
5,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1162904.411476074,410.648349473699,0.5125306525125393,10,0,0,0,0
6,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1162868.411476074,302.648349473699,0.3660933232232423,10,0,0,0,0
7,0.0,0,0.0,0.1391154628248321,0.1391154628248321,0.0,0.0,0.0,0,idle,0,0.0,0.01,0.03,1.0480259049342107,1,1162832.411476074,194.648349473699,0.21965599393394536,10,0,0,0,0
8,6.7231819999999995,0,6.584066537175167,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.016114848167911252,0.01,0.03,1.0480259049342107,1,1162796.411476074,86.648349473699,0.21965599393394536,10,0,0,0,0
9,435.537175,0,120.0,1.409193859407892,0.0,314.1279811405921,0.0,0.0,1,idle,0,0.29370629370629375,0.10129670927970713,0.3038901278391214,10.616157540972273,1,1162760.411476074,36.6618028781795,0.21965599393394536,10,0,0,0,0
10,634.747145,0,120.0,1.3619695661172375,0.0,511.53544074812334,1.84973468575954,0.0,1,charge,0,0.29370629370629375,0.09790209790209792,0.29370629370629375,10.260393474880386,1,1162395.743322667,0.0,0.21965599393394536,10,0,0,0,0
11,769.296847,0,120.0,1.3619695661172375,0.0,649.6042629877808,0.0,1.669385553897985,0,discharge,0,0.29370629370629375,0.09790209790209792,0.29370629370629375,10.260393474880386,1,1162043.2957702195,0.0,1.9769039454055082,10,0,0,0,0
12,802.24751,0,120.0,1.3619695661172375,0.0,679.0358057481233,1.84973468575954,0.0,1,charge,0,0.29370629370629375,0.09790209790209792,0.29370629370629375,10.260393474880386,1,1161690.848217772,0.0,0.21965599393394536,10,0,0,0,0
13,797.275098,0,120.0,0.1391154628248321,0.0,678.8053680910731,0.0,1.669385553897985,0,discharge,0,0.29370629370629375,0.01,0.03,1.0480259049342107,1,1161338.4006653244,0.0,1.9769039454055082,10,0,0,0,0
14,727.208754,0,120.0,2.0867319423724813,0.0,605.1220220576275,0.0,0.0,0,idle,0,0.29370629370629375,0.15,0.45,15.720388574013159,1,1161302.4006653244,949.3426573426575,0.21965599393394536,10,0,0,0,0
15,523.51582,0,120.0,1.5589542560796834,0.0,400.10713105816075,1.84973468575954,0.0,1,charge,0,0.29370629370629375,0.11206189624245065,0.33618568872735194,11.744377021813795,1,1160762.4006653244,386.685314685315,0.21965599393394536,10,0,0,0,0
16,306.28221,0,120.0,0.1391154628248321,0.0,186.14309453717522,0.0,0.0,1,idle,0,0.29370629370629375,0.01,0.03,1.0480259049342107,1,1160358.9778388515,233.75949260950551,1.9769039454055082,10,0,0,0,0
17,49.72355399999999,0,49.58443853717516,0.1391154628248321,0.0,0.0,0.0,0.0,1,idle,0,0.12136051390217698,0.01,0.03,1.0480259049342107,1,1160322.9778388515,1183.102149952163,1.9769039454055082,10,0,0,0,0
18,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1160286.9778388515,1512.0,1.9769039454055082,10,0,0,0,0
19,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.13911546282483225,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1160250.9778388515,1404.0,1.8304666161162113,10,0,0,0,0
20,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1160214.9778388515,1296.0,1.6840292868269142,10,0,0,0,0
21,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1160178.9778388515,1188.0,1.5375919575376173,10,0,0,0,0
22,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1160142.9778388515,1080.0,1.3911546282483205,10,0,0,0,0
23,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1160106.9778388515,972.0,1.2447172989590236,10,0,0,0,0
24,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1160070.9778388515,864.0,1.0982799696697267,10,0,0,0,0
25,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1160034.9778388515,756.0,0.9518426403804299,10,0,0,0,0
26,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1159998.9778388515,648.0,0.805405311091133,10,0,0,0,0
27,0.0,0,0.0,0.1391154628248321,0.1391154628248321,0.0,0.0,0.0,0,idle,0,0.0,0.01,0.03,1.0480259049342107,1,1159962.9778388515,540.0,0.6589679818018361,10,0,0,0,0
28,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1159926.9778388515,432.0,0.6589679818018361,10,0,0,0,0
29,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1159890.9778388515,324.0,0.5125306525125393,10,0,0,0,0
30,0.0,0,0.0,0.1391154628248321,0.0,0.0,0.0,0.1391154628248321,0,discharge,0,0.0,0.01,0.03,1.0480259049342107,1,1159854.9778388515,216.0,0.3660933232232423,10,0,0,0,0
